pass,block,t_start,t_end,T_block,eval_mean_loss,eval_std_loss,eval_mean_loss_per_sample,eval_std_loss_per_sample,eval_mean_y0,precision_target,refine_rounds,stage_plan_used,final_plan_used,refine_plan_used,blob_path,ckpt_path
3,0,0.0,1.0,1.0,472.93043212890626,64.3807001082718,0.23646521606445314,0.03219035005413591,-17.669281005859375,1434.6234912109376,0,"[[1800, 5e-05], [1800, 2e-05]]","[[1200, 1e-05], [1000, 5e-06]]","[[100, 5e-06], [100, 2e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_00.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_00.ckpt
3,1,1.0,2.0,1.0,10.582639026641846,2.796127957654189,0.005291319513320923,0.0013980639788270949,-13.584420204162598,15.922136402130128,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_01.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_01.ckpt
3,2,2.0,3.0,1.0,7.0503288269042965,0.7017247689176281,0.003525164413452149,0.0003508623844588139,-13.284018516540527,8.907802572250368,1,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_02.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_02.ckpt
3,3,3.0,4.0,1.0,7.334333801269532,0.9374130856288009,0.0036671669006347655,0.0004687065428144005,-13.462295532226562,7.672237739562989,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_03.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_03.ckpt
3,4,4.0,5.0,1.0,7.419979667663574,1.2736533616913375,0.0037099898338317865,0.0006368266808456687,-13.902331352233887,7.992399301528931,1,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_04.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_04.ckpt
3,5,5.0,6.0,1.0,6.871070861816406,0.5295130844474135,0.0034355354309082028,0.0002647565422237066,-13.845796585083008,8.022385530471801,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_05.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_05.ckpt
3,6,6.0,7.0,1.0,7.394916915893555,0.766196081341006,0.003697458457946777,0.00038309804067050284,-13.658438682556152,8.334653997421265,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_06.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_06.ckpt
3,7,7.0,8.0,1.0,7.232122898101807,0.45407667269664864,0.003616061449050903,0.00022703833634832418,-13.799867630004883,9.957703590393066,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_07.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_07.ckpt
3,8,8.0,9.0,1.0,8.093658638000488,0.5648705554647888,0.004046829319000244,0.0002824352777323945,-13.82569408416748,10.326286926269532,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_08.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_08.ckpt
3,9,9.0,10.0,1.0,6.963099956512451,0.3623923742104411,0.003481549978256225,0.00018119618710522056,-13.750041007995605,10.36174306869507,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_09.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_09.ckpt
3,10,10.0,11.0,1.0,7.101303958892823,0.7760021887627769,0.0035506519794464113,0.0003880010943813884,-13.830276489257812,8.254083604812623,2,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_10.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_10.ckpt
3,11,11.0,12.0,1.0,9.269247436523438,0.22406484668680735,0.004634623718261718,0.00011203242334340355,-13.746198654174805,10.428600387573244,0,"[[1000, 0.0001], [1000, 5e-05]]","[[700, 1e-05], [700, 5e-06]]","[[60, 1e-05], [60, 5e-06]]",results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_11.npz,results/t12_b10_coarse_xpass_ws/run_20260311_215608/recursive/models/pass_3/block_11.ckpt
