"Durata misurazione","Produzione (W)","Alla batteria (W)","Alla rete (W)","Verso la casa (W)","Consumo (W)","Dalla batteria (W)","Dalla rete (W)","Dal sole (W)","Livello accumulo"
"8/12/2025 00:00","0","0","0","0","330.11667","290.31332","39.803333","0","0.01564253"
"8/12/2025 00:15","0","0","0","0","319.21667","318.17334","1.0433333","0","0.0055066813"
"8/12/2025 00:30","0","0","0","0","322.2033","0","322.2033","0","0"
"8/12/2025 00:45","0","0","0","0","349.55664","0","349.55664","0","0"
"8/12/2025 01:00","0","0","0","0","299.96","0","299.96","0","0"
"8/12/2025 01:15","0","0","0","0","274.56","0","274.56","0","0"
"8/12/2025 01:30","0","0","0","0","339.83334","0","339.83334","0","0"
"8/12/2025 01:45","0","0","0","0","358.68335","0","358.68335","0","0"
"8/12/2025 02:00","0","0","0","0","353.71667","0","353.71667","0","0"
"8/12/2025 02:15","0","0","0","0","285.21335","0","285.21335","0","0"
"8/12/2025 02:30","0","0","0","0","273.38333","0","273.38333","0","0"
"8/12/2025 02:45","0","0","0","0","361.8033","0","361.8033","0","0"
"8/12/2025 03:00","0","0","0","0","452.02002","0","452.02002","0","0"
"8/12/2025 03:15","0","0","0","0","370.58667","0","370.58667","0","0"
"8/12/2025 03:30","0","0","0","0","332.44333","0","332.44333","0","0"
"8/12/2025 03:45","0","0","0","0","355.36667","0","355.36667","0","0"
"8/12/2025 04:00","0","0","0","0","408.41333","0","408.41333","0","0"
"8/12/2025 04:15","0","0","0","0","423.4","0","423.4","0","0"
"8/12/2025 04:30","0","0","0","0","374.89334","0","374.89334","0","0.00069354195"
"8/12/2025 04:45","0","0","0","0","370.17","0","370.17","0","0.0009247226"
"8/12/2025 05:00","0","0","0","0","362.47668","0","362.47668","0","0.0009247226"
"8/12/2025 05:15","0","0","0","0","386.5933","0","386.5933","0","0.0009247226"
"8/12/2025 05:30","0","0","0","0","398.25668","0","398.25668","0","0.0009247226"
"8/12/2025 05:45","0","0","0","0","400.5267","0","400.5267","0","0.0009247226"
"8/12/2025 06:00","0","0","0","0","291.91","0","291.91","0","0.0009247226"
"8/12/2025 06:15","0","0","0","0","267.28","0","267.28","0","0.0009247226"
"8/12/2025 06:30","0","0","0","0","335.09335","0","335.09335","0","0.00078587537"
"8/12/2025 06:45","0","0","0","0","341.91","0","341.91","0","0.0009247226"
"8/12/2025 07:00","0","0","0","0","316.31332","0","316.31332","0","0.0009247226"
"8/12/2025 07:15","0","0","0","0","245.91333","0","245.91333","0","0.0009247226"
"8/12/2025 07:30","0","0","0","0","312.91336","0","312.91336","0","0.0009247226"
"8/12/2025 07:45","0","0","0","0","305.76","11.466667","294.29333","0","0.0009247226"
"8/12/2025 08:00","150.49333","0","0","150.49333","269.23","0","118.73668","150.49333","0.0009247226"
"8/12/2025 08:15","415.31335","139.66667","0.37666667","275.27002","275.99","0","0.7199707","275.27002","0.0022090594"
"8/12/2025 08:30","578.0933","277.33334","2.44","298.31998","300.23666","0","1.916687","298.31998","0.0051595634"
"8/12/2025 08:45","785.81","510.66666","2.4866667","272.65668","272.65668","0","0","272.65668","0.012657314"
"8/12/2025 09:00","1014.5933","716.3333","3.5","294.76","294.76","0","0","294.76","0.026264343"
"8/12/2025 09:15","1248.8033","965.33","2.8666668","280.60666","280.60666","0","0","280.60666","0.047195565"
"8/12/2025 09:30","1335.1866","1023.3333","0.54333335","311.31","313.80667","0","2.4966667","311.31","0.072188064"
"8/12/2025 09:45","1546.2334","1237.0001","0","309.23334","311.7667","0","2.5333557","309.23334","0.09995751"
"8/12/2025 10:00","1582.2599","1348.6665","0","233.59332","237.70001","0","4.1066895","233.59332","0.13293374"
"8/12/2025 10:15","1399.0366","1115.9966","1.9233332","281.11664","286.76334","0","5.646698","281.11664","0.16216108"
"8/12/2025 10:30","1872.9501","1548.3334","13.606667","311.01","311.01","0","0","311.01","0.19607452"
"8/12/2025 10:45","2227.1833","1972.3334","3.0966666","251.75334","252.97334","0","1.2199999","251.75334","0.23883945"
"8/12/2025 11:00","2056.17","1751.3334","0.8533333","303.98334","309.12332","0","5.139984","303.98334","0.28695002"
