"Durata misurazione","Produzione (W)","Alla batteria (W)","Alla rete (W)","Verso la casa (W)","Consumo (W)","Dalla batteria (W)","Dalla rete (W)","Dal sole (W)","Livello accumulo"
"23/06/2025 00:00","0","0","0","0","442.15335","442.15335","0","0","0.7812645"
"23/06/2025 00:15","0","0","0","0","642.22","640.9933","1.2266666","0","0.76522"
"23/06/2025 00:30","0","0","0","0","391.75","385","6.75","0","0.74787724"
"23/06/2025 00:45","0","0","0","0","431.65665","430.8233","0.83333325","0","0.73918927"
"23/06/2025 01:00","0","0","0","0","324.27002","324.27002","0","0","0.72943604"
"23/06/2025 01:15","0","0","0","0","324.75333","322.21","2.5433333","0","0.7198493"
"23/06/2025 01:30","0","0","0","0","343.19998","343.19998","0","0","0.7090641"
"23/06/2025 01:45","0","0","0","0","328.85333","327.04","1.8133334","0","0.7015745"
"23/06/2025 02:00","0","0","0","0","455.33667","453.08005","2.2566671","0","0.69245374"
"23/06/2025 02:15","0","0","0","0","364.45334","362","2.4533334","0","0.6822678"
"23/06/2025 02:30","0","0","0","0","364.37332","364.37332","0","0","0.6738794"
"23/06/2025 02:45","0","0","0","0","314.74332","311.98666","2.756667","0","0.6645922"
"23/06/2025 03:00","0","0","0","0","318.5533","316.36","2.1933331","0","0.6563369"
"23/06/2025 03:15","0","0","0","0","346.25333","346.25333","0","0","0.6473493"
"23/06/2025 03:30","0","0","0","0","282.39334","280.4467","1.946667","0","0.6373298"
"23/06/2025 03:45","0","0","0","0","331.22998","325.99997","5.2299995","0","0.6296737"
"23/06/2025 04:00","0","0","0","0","455.16666","453.05","2.1166666","0","0.62534636"
"23/06/2025 04:15","0","0","0","0","254.34334","254.34334","0","0","0.618589"
"23/06/2025 04:30","0","0","0","0","309.81668","303.33334","6.4833336","0","0.610367"
"23/06/2025 04:45","0","0","0","0","318.47668","315.99667","2.48","0","0.6003142"
"23/06/2025 05:00","0","0","0","0","408.68668","408.50668","0.18","0","0.5919258"
"23/06/2025 05:15","0","0","0","0","408.38998","408.38998","0","0","0.58280504"
