"Durata misurazione","Produzione (W)","Alla batteria (W)","Alla rete (W)","Verso la casa (W)","Consumo (W)","Dalla batteria (W)","Dalla rete (W)","Dal sole (W)","Livello accumulo"
"22/09/2025 00:00","0","0","0","0","303.90665","289.21332","14.693332","0","0.46610764"
"22/09/2025 00:15","0","0","0","0","197.70667","196.53","1.1766666","0","0.4584782"
"22/09/2025 00:30","0","0","0","0","450.22","450.22","0","0","0.44991592"
"22/09/2025 00:45","0","0","0","0","295.02","294.15665","0.86333317","0","0.4390881"
"22/09/2025 01:00","0","0","0","0","267.15668","266.03668","1.12","0","0.4323915"
"22/09/2025 01:15","0","0","0","0","267","267","0","0","0.42532843"
"22/09/2025 01:30","0","0","0","0","208.61668","208.10004","0.5166667","0","0.41826537"
"22/09/2025 01:45","0","0","0","0","203.58667","202.51335","1.0733335","0","0.4112023"
"22/09/2025 02:00","0","0","0","0","270.26334","268.19","2.0733335","0","0.4040393"
"22/09/2025 02:15","0","0","0","0","248.18999","247.05666","1.1333332","0","0.39680967"
"22/09/2025 02:30","0","0","0","0","212.44333","212.35666","0.086666666","0","0.390846"
"22/09/2025 02:45","0","0","0","0","189.38","187.33334","2.046667","0","0.38441598"
"22/09/2025 03:00","0","0","0","0","245.37666","244.89","0.48666665","0","0.37555382"
"22/09/2025 03:15","0","0","0","0","241.65","240.62332","1.0266665","0","0.36882392"
"22/09/2025 03:30","0","0","0","0","239.48665","239.48665","0","0","0.36236057"
"22/09/2025 03:45","0","0","0","0","245.07333","244.60333","0.47","0","0.35603046"
"22/09/2025 04:00","0","0","0","0","188.2","188.2","0","0","0.34913397"
"22/09/2025 04:15","0","0","0","0","174.68333","172.28","2.4033334","0","0.34300375"
"22/09/2025 04:30","0","0","0","0","246.37","243.61333","2.7566667","0","0.33644044"
"22/09/2025 04:45","0","0","0","0","247.06667","242.05333","5.0133333","0","0.33011034"
"22/09/2025 05:00","0","0","0","0","177.22","177.22","0","0","0.32384688"
